	Pearson	Spearman	Kendall	Mutual_Info
Isolation: Neutral cone 4-momentum of max-PT object transverse component	-0.008495534157452791	0.011448966530785224	0.00799511969655701	0.01214209826505197
Opposite-sign muon 4-momentum x component	0.019218177625089903	0.03179717458375099	0.02078936222030992	0.012069606948657885
Event ID	0.00736234914178828	-0.0023550050637973262	-0.0015801585689124663	0.011865745041967912
Isolation: Neutral cone 4-momentum of max-PT object x component	0.021089056156530023	0.024409697698297605	0.016207952256920993	0.01147736183362369
Isolation: Neutral cone momentum sum x component	0.011762645881368857	0.02470316940380876	0.01636199001871893	0.011236090798726117
dimuon-system 4-momentum y component	0.002496099580004217	0.011807351136801009	0.0076454104280088775	0.01077164772363215
Candidate in event	0.06333313228659421	0.0446129974802867	0.03641013796759703	0.01067473319312362
Opposite-sign muon 4-momentum z component	0.09219474817389618	0.09000530200985365	0.060370041152133715	0.010647129336771144
Same-sign muon PID NN score for kaon hypothesis	-0.005589731626280574	0.007569670228468809	0.005137775524396381	0.00948277735108416
Opposite-sign muon 4-momentum energy component	0.09235547903670226	0.09041387769163223	0.060651646392718424	0.009364471441256406
Opposite-sign muon magnitude of momentum	0.09235626488302201	0.09041387769163223	0.060651646392718424	0.00935690805354561
Same-sign muon 4-momentum z component	0.10318928261772677	0.09655830502717004	0.06470811669491836	0.0092170072917801
Isolation: Charged cone 4-momentum of max-PT object y component	-0.006697031800247557	0.0014139960063426652	0.0009022957371999664	0.009156200744358856
Isolation: Charged cone momentum sum x component	0.028755013505994558	0.031944780263171976	0.021488587806034427	0.008875420045487026
Isolation: B vertex number of well fitting additional tracks	-0.005044946979039681	0.02848782433257169	0.023009703087073143	0.00885980546901477
Kaon PID NN score for proton hypothesis	0.044561090053876505	0.05411256878448283	0.03564211597349756	0.008774357079834871
Opposite-sign muon PID NN score for electron hypothesis	-0.04533510868482576	0.011418866797387649	0.007557118356827472	0.008685545403699813
Same-sign muon assumed particle type	0.00340730305456392	-0.0009862595507723335	-0.0008053180796857962	0.00843933893563742
Opposite-sign muon assumed particle type	-0.00340730305456392	0.0009862595507723335	0.0008053180796857962	0.00843933893563742
B assumed particle type	-0.003407303054563899	0.0009862595507723335	0.0008053180796857961	0.00843933893563742
Kaon assumed particle type	-0.003407303054563915	0.0009862595507723335	0.0008053180796857962	0.00843933893563742
B 4-momentum y component	0.0029597366815169025	0.008540501262147275	0.005526436401616917	0.008198904339702828
dimuon-system decay vertex z position	-0.0027907416190398877	-0.0008625591867782649	-0.0005879791448221791	0.008019062425929313
Isolation: Neutral cone number of particles containted	-0.009303810120966462	-0.00037458198649173885	-0.00032522073905615366	0.0074587811021769035
Same-sign muon magnitude of momentum	0.10335496903286184	0.09697307610162202	0.06498406050063396	0.006469892672788191
Same-sign muon 4-momentum energy component	0.10335428772085674	0.09697307610162202	0.06498406050063396	0.0064683080565766105
