	Pearson	Spearman	Kendall	Mutual_Info
Isolation: Charged cone momentum sum y component	0.004220849026739298	0.006890792399678071	0.004670412737763249	0.012120488696067078
Kaon 4-momentum x component	0.014374719514348827	0.0159676271895085	0.010426931034649927	0.012114581009479153
Isolation: Charged cone asymmetry between cone momentum and B momentum transverse component	0.014619293151625497	0.04305881181457438	0.02924743140360271	0.011312970442900472
dimuon-system lifetime	0.045362303021456205	0.009968887156047752	0.006483969174993847	0.011273302158275378
dimuon-system flight distance chi2 wrt B-decay vertex	0.10784096909166538	0.06953738405587719	0.04673011861947652	0.010945452005858947
Isolation: Charged cone vector sum of PT	-0.011174192951841785	-0.04889682660985491	-0.03279630218309699	0.01082492461072082
Isolation: Neutral cone asymmetry between cone momentum and B momentum z component	0.07832857372409469	0.06301437969405418	0.042812166879368445	0.010562056644801032
Kaon 4-momentum y component	-0.005649417918731707	0.003473440337630551	0.002053207086467136	0.010389134393816946
Isolation: Neutral cone asymmetry between cone momentum and B momentum	0.07830123152243473	0.06299506902056883	0.04280119561110258	0.01031823512220953
Isolation: Charged cone 4-momentum of max-PT object energy component	0.0016295564880660237	-0.005047867414288038	-0.004000409053187721	0.009774770412434464
Isolation: Charged cone 4-momentum of max-PT object z component	0.0016505646985732674	-0.004910998832587553	-0.003909579946059446	0.009701691751542452
Isolation: Neutral cone number of particles containted	-0.09101821824928635	-0.05896714914371699	-0.041306676504725796	0.009629122546361835
B 4-momentum z component	0.09560676673066136	0.08588690689073399	0.05721090967260394	0.00958311885603269
Isolation: Neutral cone ratio of B momentum and B+cone momentum all in transverse plane	0.05982293398208007	0.055156048938775036	0.03758680878260476	0.008381407608165858
Isolation: Neutral cone momentum sum x component	0.01577853581247069	0.013405265446037604	0.00900060136266964	0.00834156530572372
Isolation: Neutral cone 4-momentum of max-PT object y component	0.008307154916196465	-0.008523492150864705	-0.005736648136580394	0.008132824310421505
dimuon-system cos(angle) between line-of-flight from primary vertex and momentum	-0.009159393229610627	-0.09088133074835768	-0.06153074107310402	0.008024287805671992
Opposite-sign muon assumed particle type	4.116027343206415e-05	-0.005843181474207988	-0.004771176808779199	0.00797958455832748
Kaon assumed particle type	4.116027343205862e-05	-0.005843181474207988	-0.004771176808779199	0.00797958455832748
Same-sign muon assumed particle type	-4.116027343206415e-05	0.005843181474207988	0.004771176808779199	0.00797958455832748
B assumed particle type	4.116027343207939e-05	-0.005843181474207988	-0.004771176808779199	0.00797958455832748
dimuon-system 4-momentum z component	0.03068404166389374	0.00705237815890461	0.004596020429326619	0.007343937902151154
Same-sign muon PID NN score for muon hypothesis	-0.044888773088029764	-0.007244968926732243	-0.004751575775282408	0.007048351098738692
dimuon-system magnitude of momentum	0.03045196341019125	0.006965557053927227	0.004540034593663891	0.006377298193555703
B magnitude of momentum	0.09528570900729544	0.08586690468376025	0.05720836770177471	0.006336993595776441
B 4-momentum energy component	0.09551914724895186	0.08627525283185844	0.05748043494114673	0.006323445749945478
Isolation: Charged cone 4-momentum of max-PT object y component	0.0027619010217929656	0.007659424762043383	0.005192522427058466	0.006139129980048175
Candidate in event	0.056863593676713904	0.03279532898654088	0.02675976611327299	0.00611992646433368
dimuon-system 4-momentum energy component	0.030561533049056185	0.007077979103055832	0.004612201819768242	0.005734396186741542
Isolation: Neutral cone asymmetry between cone momentum and B momentum y component	0.009095645905182274	0.05312036358939904	0.036130182882967966	0.005659097965330595
